Область,Рік,Середній бал з Історії України
Вінницька область,2019,134.4660043093129040
Вінницька область,2020,133.5556752873563218
Волинська область,2019,136.1499013806706114
Волинська область,2020,135.2875251509054326
Дніпропетровська область,2019,134.2658395483376316
Дніпропетровська область,2020,131.9281522601110230
Донецька область,2019,135.4705131649650725
Донецька область,2020,131.5660740028832292
Житомирська область,2019,134.1915543716703228
Житомирська область,2020,132.6308847774317641
Закарпатська область,2019,127.7058113329040567
Закарпатська область,2020,129.9193201376936317
Запорізька область,2019,133.2394390581717452
Запорізька область,2020,130.9957777777777778
Івано-Франківська область,2019,135.0252702512986101
Івано-Франківська область,2020,136.6746098338647424
Київська область,2019,136.6020141250326968
Київська область,2020,133.7811318009892348
Кіровоградська область,2019,135.6552088221492257
Кіровоградська область,2020,132.4924133982250215
Луганська область,2019,134.0495974698102358
Луганська область,2020,132.0507709665287702
Львівська область,2019,139.9698632196001804
Львівська область,2020,141.2765114415457217
м.Київ,2019,140.6758143991240077
м.Київ,2020,138.2044223826714801
Миколаївська область,2019,131.9119197243056963
Миколаївська область,2020,130.3373423633815974
Одеська область,2019,133.0146443514644351
Одеська область,2020,131.2200047376524932
Полтавська область,2019,135.8654337693579913
Полтавська область,2020,133.1554507527661890
Рівненська область,2019,133.2726971942826893
Рівненська область,2020,135.5670443814919736
Сумська область,2019,135.9359731270358306
Сумська область,2020,134.7534175909208151
Тернопільська область,2019,136.2924379053947160
Тернопільська область,2020,137.9610456705930977
Харківська область,2019,138.5421350968351441
Харківська область,2020,135.1958097038437303
Херсонська область,2019,132.2094543387646836
Херсонська область,2020,131.7137818090199043
Хмельницька область,2019,136.5789821061894984
Хмельницька область,2020,135.6108715184186882
Черкаська область,2019,137.6746349269853971
Черкаська область,2020,133.8271449548982589
Чернівецька область,2019,131.0922539552085474
Чернівецька область,2020,133.4536685179771996
Чернігівська область,2019,136.5466653512233623
Чернігівська область,2020,134.7944351163348525
